Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
1992,Aimar Oroz,es ESP,MF,Osasuna,es La Liga,21.0,2001.0,33,26,2339,26.0,2,1,3,1,1,1,3,0,3.5,2.8,1.6,4.4,52.0,103.0,126.0,0.08,0.04,0.12,0.04,0.08,0.14,0.06,0.2,0.11,0.17
1960,Aingeru Olabarrieta,es ESP,FW,Athletic Club,es La Liga,17.0,2005.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
1573,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25.0,1997.0,23,16,1432,15.9,1,4,5,0,1,1,1,1,3.0,2.2,2.1,4.2,26.0,76.0,82.0,0.06,0.25,0.31,0.0,0.25,0.19,0.13,0.32,0.14,0.27
864,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32.0,1991.0,7,6,551,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,Aitor Paredes,es ESP,DF,Athletic Club,es La Liga,23.0,2000.0,34,31,2704,30.0,1,0,1,1,0,0,9,1,1.2,1.2,0.2,1.4,6.0,107.0,1.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05
2296,Aitor Ruibal,es ESP,"DF,FW",Betis,es La Liga,27.0,1996.0,18,11,1017,11.3,2,1,3,2,0,0,5,0,0.8,0.8,1.3,2.1,22.0,54.0,50.0,0.18,0.09,0.27,0.18,0.27,0.07,0.11,0.19,0.07,0.19
19,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23.0,2000.0,32,27,2252,25.0,8,1,9,8,0,0,2,0,12.4,12.4,1.9,14.3,40.0,17.0,127.0,0.32,0.04,0.36,0.32,0.36,0.5,0.07,0.57,0.5,0.57
261,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21.0,2002.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1669,Alan Matturro,uy URU,DF,Genoa,it Serie A,18.0,2004.0,6,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
2716,Alan Virginius,fr FRA,FW,Clermont Foot,fr Ligue 1,20.0,2003.0,14,12,934,10.4,0,2,2,0,0,0,0,0,1.3,1.3,1.5,2.8,22.0,21.0,64.0,0.0,0.19,0.19,0.0,0.19,0.13,0.15,0.27,0.13,0.27
2137,Alassane Pléa,fr FRA,"FW,MF",Gladbach,de Bundesliga,30.0,1993.0,27,24,1913,21.3,7,4,11,6,1,1,1,0,7.0,6.2,4.0,10.2,56.0,115.0,157.0,0.33,0.19,0.52,0.28,0.47,0.33,0.19,0.52,0.29,0.48
1415,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,24.0,1999.0,28,28,2496,27.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
